2077254 2077392 + 2209234 2209372
2077393 2078029 + 2209374 2210010
2078030 2078890 + 2210010 2210870
2078894 2079281 + 2210872 2211259
2079294 2079325 + 2211260 2211291
2079334 2080049 + 2211292 2212007
2080050 2080174 + 2212009 2212133
2649521 8914955 + 2781480 9046914
8964956 9241322 + 9127347 9403713
9291323 10104553 + 9453714 10266944
13104554 13143954 + 10594040 10633440
13193955 13748578 + 11038279 11592902
13798579 14334341 + 11677873 12213635
14334342 14367258 + 12213637 12246553
14367259 14399101 + 12246555 12278397
14399102 14406362 + 12278399 12285659
14406363 14409022 + 12285661 12288320
14409024 14418151 + 12288321 12297448
14418174 14429434 + 12297449 12308709
14429437 14467032 + 12308710 12346305
14467037 14491215 + 12346306 12370484
14491216 14491263 + 12379401 12379448
14491264 14491295 + 12379453 12379484
14491296 14491299 + 12379487 12379490
14491300 14491303 + 12379504 12379507
14491309 14491314 + 12379508 12379513
14491315 14491315 + 12379518 12379518
14491322 14496333 + 12379519 12384530
14500001 14515361 + 12388206 12403566
14515366 14562362 + 12403567 12450563
14562364 14600853 + 12450564 12489053
14600854 14610919 + 12489056 12499121
14610920 14612506 + 12499126 12500712
14612515 14624300 + 12500713 12512498
14624301 14625265 + 12512501 12513465
14625267 14625298 + 12513466 12513497
14625302 14625316 + 12513498 12513512
14625318 14625351 + 12513513 12513546
14625353 14625363 + 12513547 12513557
14625365 14625379 + 12513558 12513572
14625381 14625392 + 12513573 12513584
14625394 14625407 + 12513585 12513598
14625411 14625426 + 12513599 12513614
14625428 14625429 + 12513615 12513616
14625431 14625450 + 12513617 12513636
14625452 14625458 + 12513637 12513643
14625460 14625461 + 12513644 12513645
14625463 14625472 + 12513646 12513655
14625474 14625477 + 12513656 12513659
14625479 14625492 + 12513660 12513673
14625494 14625496 + 12513674 12513676
14625499 14625506 + 12513677 12513684
14625509 14625510 + 12513685 12513686
14625513 14625518 + 12513687 12513692
14625520 14625521 + 12513693 12513694
14625523 14625531 + 12513695 12513703
14625535 14625537 + 12513704 12513706
14625540 14625550 + 12513707 12513717
14625552 14625561 + 12513718 12513727
14625565 14625574 + 12513728 12513737
14625576 14625588 + 12513738 12513750
14625590 14625594 + 12513751 12513755
14625597 14625598 + 12513756 12513757
14625600 14625601 + 12513758 12513759
14625604 14625611 + 12513760 12513767
14625614 14625627 + 12513768 12513781
14625629 14625631 + 12513782 12513784
14625633 14625645 + 12513785 12513797
14625647 14625648 + 12513798 12513799
14625650 14625653 + 12513800 12513803
14625655 14625659 + 12513804 12513808
14625661 14625666 + 12513809 12513814
14625667 14625669 + 12513816 12513818
14625670 14625680 + 12513820 12513830
14625684 14625691 + 12513831 12513838
14625693 14625696 + 12513839 12513842
14625698 14625703 + 12513843 12513848
14625705 14625711 + 12513849 12513855
14625714 14625725 + 12513856 12513867
14625727 14625754 + 12513868 12513895
14625757 14625762 + 12513896 12513901
14625764 14625769 + 12513902 12513907
14625771 14625772 + 12513908 12513909
14625774 14625776 + 12513910 12513912
14625779 14625787 + 12513913 12513921
14625790 14625803 + 12513922 12513935
14625805 14625807 + 12513936 12513938
14625810 14625819 + 12513939 12513948
14625821 14625824 + 12513949 12513952
14625826 14625830 + 12513953 12513957
14625833 14625834 + 12513958 12513959
14625836 14625837 + 12513960 12513961
14625839 14625844 + 12513962 12513967
14625846 14625847 + 12513968 12513969
14625852 14625853 + 12513970 12513971
14625855 14625863 + 12513972 12513980
14625866 14625872 + 12513981 12513987
14625876 14625881 + 12513988 12513993
14625886 14625901 + 12513994 12514009
14625904 14625917 + 12514010 12514023
14625919 14625920 + 12514024 12514025
14625924 14625931 + 12514026 12514033
14625933 14625933 + 12514034 12514034
14625935 14625937 + 12514035 12514037
14625940 14625947 + 12514038 12514045
14625952 14625954 + 12514046 12514048
14625957 14625961 + 12514049 12514053
14625963 14625979 + 12514054 12514070
14625980 14625993 + 12514072 12514085
14625995 14625997 + 12514086 12514088
14625999 14626002 + 12514089 12514092
14626005 14626023 + 12514093 12514111
14626025 14626029 + 12514112 12514116
14626031 14626048 + 12514117 12514134
14626051 14626070 + 12514135 12514154
14626071 14626077 + 12514155 12514161
14626080 14626083 + 12514155 12514158
14626089 14626096 + 12514159 12514166
14626099 14629583 + 12514167 12517651
14629584 14645424 + 12517653 12533493
14645430 14646837 + 12533494 12534901
14646838 14664254 + 12534903 12552319
14664255 14667693 + 12552321 12555759
14667695 14667840 + 12555760 12555905
14667841 14709282 + 12555907 12597348
14709283 14716431 + 12597350 12604498
14716432 14743425 + 12604500 12631493
14743426 14778459 + 12631495 12666528
14778460 14787854 + 12666530 12675924
14787855 14819062 + 12675926 12707133
14819067 14842427 + 12707134 12730494
14842429 14866162 + 12730495 12754228
14866163 14881731 + 12754233 12769801
14881734 14882304 + 12769802 12770372
14882307 14898450 + 12770373 12786516
14898451 14919314 + 12786518 12807381
14919317 14937874 + 12807382 12825939
14937875 14938648 + 12825950 12826723
14938650 14954417 + 12826724 12842491
14954418 14977723 + 12842493 12865798
14977724 14981887 + 12865800 12869963
14981896 14986753 + 12869964 12874821
14986756 14989245 + 12874822 12877311
14989246 15011346 + 12877331 12899431
15011347 15015279 + 12899435 12903367
15015280 15022839 + 12903369 12910928
15022841 15037755 + 12910929 12925843
15037756 15047302 + 12925846 12935392
15047303 15055152 + 12935394 12943243
15055153 15066208 + 12943245 12954300
15066210 15072596 + 12954301 12960687
15072598 15088609 + 12960688 12976699
15088611 15092765 + 12976700 12980854
15092767 15106786 + 12980855 12994874
15106788 15157880 + 12994875 13045967
15157882 15255816 + 13045968 13143902
15255819 15263363 + 13143903 13151447
15263364 15264742 + 13151454 13152832
15264744 15278820 + 13152833 13166909
15278821 15278854 + 13166915 13166948
15278855 15305889 + 13166954 13193988
15305890 15308867 + 13193992 13196969
15308868 15309780 + 13196972 13197884
15309781 15315479 + 13197886 13203584
15315480 15320720 + 13203586 13208826
15320721 15340401 + 13208839 13228519
15340402 15358787 + 13228521 13246906
15358788 19940000 + 13246908 17828120
19940001 19960000 - 18077890 18057891
19960001 20143885 + 17848121 18032005
20193886 20200000 - 17874008 17867894
20200001 20220000 + 18038115 18058114
20220001 20240000 - 17847896 17827897
20240001 22369679 + 18078115 20207793
22420001 23900000 + 20258115 21738114
23900001 23901428 - 21765709 21764282
23951429 28819361 + 21805282 26673214
58820001 58917656 - 56770870 56673215
58967657 59034049 + 56821510 56887902
59052825 59131404 - 56906677 56985256
59131405 59194901 - 56985256 57048752
59194902 59198059 - 57048752 57051909
59198059 59228441 - 57051910 57082292
59228442 59282590 - 57082292 57136440
59282591 59363566 - 57136440 57217415
